review,sentiment
one reviewer mention watch 1 oz episode hook right exactly happen first thing strike oz brutality unflinching scene violence set right word go trust show faint hearted timid show pull punch regard drug sex violence hardcore classic use word call oz nickname give oswald maximum security state penitentary focus mainly emerald city experimental section prison cell glass front face inwards privacy high agenda em city home many aryan muslim gangstas latinos christian italian irish scuffle death stare dodgy dealing shady agreement never far away would say main appeal show due fact go show dare forget pretty picture paint mainstream audience forget charm forget romance oz mess around first episode ever saw struck nasty surreal say ready watch developed taste oz get accustomed high level graphic violence violence injustice crook guard sell nickel inmate kill order get away well mannered middle class inmate turn prison bitch due lack street skill prison experience watch oz may become comfortable uncomfortable view thats get touch darker side,positive
wonderful little production film technique unassuming old time bbc fashion give comfort sometimes discomforting sense realism entire piece actor extremely well choose michael sheen get polari voice pat truly see seamless edit guided reference williams diary entry well worth watch terrificly write perform piece masterful production one great master comedy life realism really come home little thing fantasy guard rather use traditional dream technique remain solid disappears play knowledge sens particularly scene concern orton halliwell set particularly flat halliwell mural decorate every surface terribly well do,positive
think wonderful way spend time hot summer weekend sit air condition theater watch light hearted comedy plot simplistic dialogue witty character likable even well bread suspect serial killer may disappoint realize match point 2 risk addiction think proof woody allen still fully control style many u grown love laugh one woody comedies year dare say decade never impress scarlet johanson manage tone sexy image jump right average spirit young woman may crown jewel career witty devil wear prada interest superman great comedy go see friend,positive
basically family little boy jake think zombie closet parent fight time movie slow soap opera suddenly jake decides become rambo kill zombie ok first go make film must decide thriller drama drama movie watchable parent divorce argue like real life jake closet totally ruin film expect see boogeyman similar movie instead watch drama meaningless thriller spot 3 10 well play parent descent dialog shot jake ignore,negative
petter mattei love time money visually stunning film watch mr mattei offer u vivid portrait human relation movie seem tell u money power success people different situation encounter variation arthur schnitzler play theme director transfer action present time new york different character meet connect one connect one way another next person one seem know previous point contact stylishly film sophisticate luxurious look take see people live world live habitat thing one get souls picture different stage loneliness one inhabit big city exactly best place human relation find sincere fulfillment one discern case people encounter act good mr mattei direction steve buscemi rosario dawson carol kane michael imperioli adrian grenier rest talented cast make character come alive wish mr mattei good luck await anxiously next work,positive
probably time favorite movie story selflessness sacrifice dedication noble cause preachy bore never get old despite see 15 time last 25 year paul lukas performance bring tear eye bette davis one truly sympathetic role delight kid grandma say like dress midget child make fun watch mother slow awaken happen world roof believable startle dozen thumb movie,positive
sure would like see resurrection date seahunt series tech today would bring back kid excitement grow black white tv seahunt gunsmoke hero every week vote comeback new sea hunt need change pace tv would work world water adventure oh way thank outlet like view many viewpoint tv many movie ole way believe get wan na say would nice read plus point sea hunt rhyme would 10 line would let submit leave doubt quit must go let,positive
show amazing fresh innovative idea 70 first air first 7 8 year brilliant thing drop 1990 show really funny anymore continued decline complete waste time today truly disgraceful far show fall write painfully bad performance almost bad mildly entertaining respite guest host show probably still air find hard believe creator hand select original cast also choose band hack follow one recognize brilliance see fit replace mediocrity felt must give 2 star respect original cast make show huge success show awful believe still air,negative
encourage positive comment film look forward watch film bad mistake see 950 film truly one bad awful almost every way edit pace storyline act soundtrack film song lame country tune play less four time film look cheap nasty boring extreme rarely happy see end credit film thing prevents give 1 score harvey keitel far best performance least seem make bite effort one keitel obsessive,negative
like original gut wrench laughter like movie young old love movie hell even mom liked great camp,positive
phil alien one quirky film humour base around oddness everything rather actual punchlines first odd pretty funny movie progress find jokes oddness funny anymore low budget film thats never problem pretty interesting character eventually lose interest imagine film would appeal stoner currently partake something similar well try brother another planet,negative
saw movie 12 come recall scary scene big bird eat men dangle helplessly parachute right air horror horror young kid go cheesy b film saturday afternoon still tire formula monster type movie usually include hero beautiful woman might daughter professor happy resolution monster die end care much romantic angle 12 year old predictable plot love unintentional humor year later saw psycho come loved star janet leigh bump early film sit take notice point since screenwriter make story make scary possible well worn formula rule,negative
